compound_id,base_rdkit_smiles,relation,avg_pIC50
CHEMBL1995172,Brc1ccc2c(c1)-c1[nH]ncc1C2,<,5.0
CHEMBL1984686,Brc1ccc2cnc(Nc3ccncn3)cc2c1,<,5.40000018605658
CHEMBL1992634,Brc1cnc2[nH]cc(-c3ccccc3)c2c1,<,5.800000874803203
CHEMBL2013064,Brc1cncc(-c2cnc(Nc3cc(N4CCNCC4)ccn3)s2)c1,,6.318758762624412
CHEMBL4784656,C#CC(=O)N1CC=C(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cn2)CC1,,7.920818753952375
CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,<,4.522878745280337
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,<,4.522878745280337
CHEMBL2087361,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,<,4.522878745280337
CHEMBL1993877,C#Cc1cn(C2CCCC2)c2ncnc(N)c12,,5.800000874803203
CHEMBL4074015,C#Cc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc2[nH]cnc12,,4.442492798094342
CHEMBL4094562,C#Cc1nc(Nc2ccccc2)nc2[nH]cnc12,,4.115204636051019
CHEMBL2035187,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,<,4.522878745280337
CHEMBL4799698,C=CC(=O)N1CC=C(c2ccc(C(C(=O)Nc3cc(C4CC4)[nH]n3)C(C)C)cc2)CC1,,6.295849483160201
CHEMBL4790458,C=CC(=O)N1CC=C(c2ccc(C(C(=O)Nc3cc(C4CC4)[nH]n3)C(C)C)cn2)CC1,,6.128427064454121
CHEMBL4778214,C=CC(=O)N1CC=C(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cc2)CC1,,5.481486060122113
CHEMBL4792293,C=CC(=O)N1CC=C(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cc2F)CC1,,5.64754742221331
CHEMBL4778676,C=CC(=O)N1CC=C(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cn2)C1,,5.995678626217358
CHEMBL4778361,C=CC(=O)N1CC=C(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cn2)CC1,,5.508162839506591
CHEMBL4797074,C=CC(=O)N1CC=C(c2ccc(CC(=O)Nc3cc(C4CC4)[nH]n3)cn2)C1,,5.108462542327436
CHEMBL4777358,C=CC(=O)N1CC=C(c2ccc([C@H](C)C(=O)Nc3cc(C4CC4)[nH]n3)cc2)CC1,,5.640164517660112
CHEMBL4641226,C=CC(=O)N1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CC1,,6.34008379993015
CHEMBL3545154,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,<,4.522878745280337
CHEMBL4776295,C=CC(=O)N1CCC(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cn2)C1,,5.761953896871205
CHEMBL4790705,C=CC(=O)N1CCC(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cn2)CC1,<,5.0
CHEMBL4800122,C=CC(=O)N1CCC(c2ccc([C@H](C)C(=O)Nc3cc(C4CC4)[nH]n3)cc2)CC1,,5.548213564475709
CHEMBL4779633,C=CC(=O)N1CCC=C(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cc2)CC1,,5.181444220702198
