compound_id,base_rdkit_smiles,relation_cdk1,avg_pIC50_cdk1,relation_cdk2,avg_pIC50_cdk2,relation_cdk4,avg_pIC50_cdk4,relation_cdk5,avg_pIC50_cdk5,relation_cdk6,avg_pIC50_cdk6,relation_cdk7,avg_pIC50_cdk7,relation_cdk8,avg_pIC50_cdk8,relation_cdk9,avg_pIC50_cdk9,relation_cdk12,avg_pIC50_cdk12,relation_cdk13,avg_pIC50_cdk13
CHEMBL101810,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C(F)(F)F)ccc3F)n2)cc1,,,,6.0,,6.221848749616356,,,,,,,,,,,,,,
CHEMBL101868,COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,,,,4.070581074285707,,4.638272163982407,,,,,,,,,,,,,,
CHEMBL101887,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCCC(F)(F)F)c3cc(Cl)ccc3Cl)n2)cc1,,,,4.920818753952375,,6.698970004336019,,,,,,,,,,,,,,
CHEMBL102008,CN(C)CC(O)COc1ccc(Nc2nccc(N(Cc3ccccc3)c3cc(Cl)ccc3Cl)n2)cc1,,,<,5.0,,6.0,,,,,,,,,,,,,,
CHEMBL102047,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3)n2)cc1,,,,4.481685552318919,,5.698970004336019,,,,,,,,,,,,,,
CHEMBL102136,Cc1ccc(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)cc1,,,<,4.0,,4.6020599913279625,,,,,,,,,,,,,,
CHEMBL102241,COc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1F,,,,6.39040559077478,,,,,,,,,,,,,,,,
CHEMBL102622,Cc1nc2ccccn2c1-c1ccnc(NC(=O)C(F)(F)F)n1,,,,4.022276394711152,,4.3979400086720375,,,,,,,,,,,,,,
CHEMBL102636,COc1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1,,6.638272163982407,,6.657577319177793,,,,,,,,,,,,,,,,
CHEMBL102714,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,,6.259637310505756,,,,,,,,,,,,,,,,,,
CHEMBL102871,CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCC(N)CC3)nc21,,7.522878745280337,,,,,,,,,,,,,,,,,,
CHEMBL102926,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,,8.301029995663981,,8.164950007226699,,6.823908740944319,,,,,,,,,,,,,,
CHEMBL102936,CS(=O)(=O)Nc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL103039,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(N4CCOCC4)c3)[nH]n2)cc1,,,,6.309803919971486,,,,,,,,,,,,,,,,
CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,,6.619788758288394,,,,,,,,,,,,,,,,,,
CHEMBL103080,CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL103098,NS(=O)(=O)c1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL103099,O=C(Nc1[nH]nc2cc(-c3ccc4ncccc4c3)ccc12)C1CC1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL103104,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1,,6.400116927926312,,8.040958607678906,,,,,,,,,,,,,,,,
CHEMBL103112,O=C(Nc1[nH]nc2cc(-c3ccc(F)c(F)c3)ccc12)C1CC1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL103115,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1,,6.698970004336019,,7.899629454882437,,,,,,,,,,,,,,,,
CHEMBL103272,CC(C)C(CO)Nc1nc(Nc2cccc(Cl)c2)c2nc(Cl)n(C(C)C)c2n1,,4.886056647693163,,,,,,,,,,,,,,,,,,
CHEMBL103285,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(Br)c3)[nH]n2)cc1,,,,7.6307841425898575,,,,,,,,,,,,,,,,
CHEMBL103355,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1,,,,8.221848749616356,,5.568636235841013,,,,,,,,,,,,,,
