compound_id,base_rdkit_smiles,relation,avg_pIC50
CHEMBL100945,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,,6.096910013008056
CHEMBL322019,C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,,6.698970004336019
CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,<,4.522878745280337
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,<,4.522878745280337
CHEMBL2087361,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,<,4.522878745280337
CHEMBL3702158,C1=C(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CCNC1,,8.886056647693163
CHEMBL3702157,C1=C(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CCNC1,,8.2518119729938
CHEMBL3702156,C1=CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,,7.657577319177793
CHEMBL2035187,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,<,4.522878745280337
CHEMBL365608,C=C(c1ccc2nc(N)c(C(=O)c3c(F)cccc3F)n2c1)c1c(F)cccc1F,,5.985899678480379
CHEMBL3545154,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,<,4.522878745280337
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,<,4.522878745280337
CHEMBL3991931,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,<,4.522878745280337
CHEMBL4860767,C=CC(=O)N1CCN(c2ccc(Nc3ncc4c(C)c(C(C)=O)c(=O)n(C5CCCC5)c4n3)nc2)CC1,,7.638272163982407
CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,<,4.522878745280337
CHEMBL2138625,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,<,4.522878745280337
CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,<,4.522878745280337
CHEMBL3545308,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,<,4.522878745280337
CHEMBL154580,C=CC(=O)c1ccc2ccccc2c1,>,5.0
CHEMBL411907,C=CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)C(=O)CC[C@@H]12)CC=C,<,4.522878745280337
CHEMBL47249,C=CCNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,,5.1487416512809245
CHEMBL1976040,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,<,4.522878745280337
CHEMBL496779,C=Cc1ccc2c(-c3ccnc(NC4CC4)n3)cnn2n1,,6.698970004336019
CHEMBL3691570,CC(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2,,7.337242168318426
CHEMBL3691551,CC(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCCCC5)c4n3)nc1)C2,,7.4089353929735005
CHEMBL5274267,CC(=O)N1CCC(c2cc3c(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)nc(C)nc3n(C)c2=O)CC1,<,5.0
CHEMBL3702057,CC(=O)N1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CC1,,7.769551078621726
CHEMBL1083786,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C)nc4C)n3)cc2)CC1,,6.031984286006359
CHEMBL1084969,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(N)nc4C)n3)cc2)CC1,,5.903785414653595
CHEMBL3680380,CC(=O)N1CCc2nc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)ccc2C1,,8.346787486224656
CHEMBL3684982,CC(=O)N1Cc2ccc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)nc2C(C)C1,,8.356547323513812
CHEMBL3684994,CC(=O)N1Cc2ccc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)nc2[C@@H](C)C1,,6.334419008982047
CHEMBL3684986,CC(=O)N1Cc2ccc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)nc2[C@H](C)C1,,7.72584215073632
CHEMBL3691675,CC(=O)N1[C@@H]2CC[C@H]1CN(c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C(=O)C2,,6.943095148663527
CHEMBL1983111,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,<,4.522878745280337
CHEMBL3691674,CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1CN(c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C(=O)C2,,6.97469413473523
CHEMBL4462530,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,,6.30189945437661
CHEMBL4754081,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(F)cn2)C1,,6.476253533188435
CHEMBL4754399,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CCCC4)c(Cl)cn2)C1,,5.6777807052660805
CHEMBL2103875,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,<,4.522878745280337
CHEMBL99842,CC(=O)Nc1nccc(-c2c(C)nc3ccccn23)n1,,5.050609993355087
CHEMBL3702099,CC(=O)OCC(=O)N1CCN(c2ccc(Nc3ncc4c5ccnc(F)c5n(C5CCCC5)c4n3)nc2)CC1,,6.221848749616356
CHEMBL3972685,CC(=O)OCOC(=O)N1CCN(c2ccc(Nc3ncc4c(C)c(C(C)=O)c(=O)n(C5CCCC5)c4n3)nc2)CC1,,7.494850021680094
CHEMBL5277470,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)/C(C#N)=C/c5ccccc5)CC4)cn3)nc2n(C2CCCC2)c1=O,,7.6020599913279625
CHEMBL3986282,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CNCCN)CC4)cn3)nc2n(C2CCCC2)c1=O,,7.721246399047171
CHEMBL5277376,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C/C=C/C(F)(F)F)CC4)cn3)nc2n(C2CCCC2)c1=O,,7.7447274948966935
CHEMBL365847,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O,,8.698970004336019
