compound_id,base_rdkit_smiles,relation,avg_pIC50
CHEMBL1995172,Brc1ccc2c(c1)-c1[nH]ncc1C2,<,5.300000202445418
CHEMBL1984686,Brc1ccc2cnc(Nc3ccncn3)cc2c1,<,5.40000018605658
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,<,5.0
CHEMBL1993877,C#Cc1cn(C2CCCC2)c2ncnc(N)c12,,7.199970640755866
CHEMBL1988622,C(=Cc1ccc2nccn2n1)c1ccccc1,,4.900000142057633
CHEMBL1988201,C=C1c2ccccc2CC(CCN(C)C)c2ccccc21,,5.899998417198648
CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,<,5.0
CHEMBL1977749,C=CCc1cccc2c(=NO)cc(-c3ccccc3)oc12,,6.299997602857746
CHEMBL1976040,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,<,5.40000018605658
CHEMBL2007375,CC#Cc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1,,5.800000874803203
CHEMBL4170978,CC(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](c4ccc5ccncc5c4)CC[C@@H]32)C1,,7.523103948483087
CHEMBL3823659,CC(=O)N1CCC(n2cc(Nc3ncc(Cl)c(-c4cnc5ccccn45)n3)cn2)CC1,,7.376750709602099
CHEMBL1980178,CC(=O)NC1CCCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)C1,,8.500038134403809
CHEMBL1983111,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,<,5.40000018605658
CHEMBL3775578,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,<,5.0
CHEMBL2002723,CC(=O)Nc1ccc(-n2nc3ccc(N)nc3n2)cc1,,5.59999938302362
