compound_id,base_rdkit_smiles,relation,avg_pIC50
CHEMBL1994074,Brc1ccc2[nH]nc(-c3ccccc3)c2c1,,5.200000237109354
CHEMBL1995172,Brc1ccc2c(c1)-c1[nH]ncc1C2,<,5.100000128334196
CHEMBL204054,Brc1cccc(-c2cc(NCc3ccncc3)n3nccc3n2)c1,,5.7447274948966935
CHEMBL203006,Brc1cccc(-c2cc(NCc3ccncc3)n3ncnc3n2)c1,,4.585026652029182
CHEMBL1992634,Brc1cnc2[nH]cc(-c3ccccc3)c2c1,,6.599997654072044
CHEMBL401377,Brc1cnn2c(NCc3ccncc3)cc(-c3ccccc3)nc12,,7.618286003218531
CHEMBL100945,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,,4.721246399047171
CHEMBL322019,C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,,5.698970004336019
CHEMBL3644028,C#CCOc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,,7.6020599913279625
CHEMBL3644025,C#CCS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(O[C@H](C)C(C)(C)O)n2)cc1,,7.366531544420414
CHEMBL1972250,C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,<,5.100000128334196
CHEMBL2348171,C#Cc1ccc2ccn(-c3ccnc(N)n3)c2c1,,5.0
CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,<,4.522878745280337
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,4.949521254712852
CHEMBL2087361,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,<,4.522878745280337
CHEMBL3218000,C#Cc1cccc(Nc2ncnc3ccc(OCc4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,,4.886056647693163
CHEMBL3218002,C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)NO)c4)cc23)c1,<,4.0
CHEMBL3218001,C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)Nc5ccccc5N)c4)cc23)c1,,4.769551078621726
