compound_id,base_rdkit_smiles,avg_pIC50,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL1964804,CS(=O)(=O)NCCOc1cncc(-c2ccc3cnccc3c2)c1,5.800000874803203,12.10143917903249,-5.793937297624858,12.10143917903249,0.45843727568547865,0.6942281648808475,343.4079999999998,326.2720000000001,343.0990624040005,124,0,0.20831390494763477,-0.4905886300475771,0.4905886300475771,0.20831390494763477,1.2083333333333333,2.125,3.0,2.3121927506576765,1693.9219225086774,31.781574381404035,28.474633948355326,12.291130529283054,18.41231447066514,14.443527539114037,7.4363772724147195,4.007225515334476,5.139932380825845,2.395250924691927,2.726896309026968,1.4999308283436843,1.6573777736774378,-2.5099999999999993,198782401.0797616,5.503320157290285,6.939614432353071,4.272788479166605,164.0710226030001,4.736862953800049,13.720339154528395,0.0,10.023291153407584,0.0,0.0,9.967957041894417,13.132916598063069,0.0,0.0,12.08483741532659,29.076931829151675,42.81901380377313,27.435163429803634,36.49863891518071,20.795739582337177,0.0,14.683076655628547,0.0,0.0,19.239769028348693,54.90367438157552,0.0,16.876414816677897,9.45198256753418,0.0,5.749511833283905,0.0,37.62552305457205,10.023291153407584,0.0,21.932136898723517,54.90367438157552,1.4118420783282006,21.899351412323583,0.0,81.18,116.5307174226734,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,28.080841930851765,161.39082748543817,0.0,6.899455456048983,-0.9782506305763077,-1.5889846355527717,-1.279471686822877,-4.418440849283165,-7.618628580789704,-8.11256926083744,-5.793937297624858,0.17647058823529413,24,1,6,0,0,0,1,2,3,5,1,7,7,0,0,0,3,2.2248,93.31550000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
CHEMBL2000335,Cc1ccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)cc1C,5.300000202445418,13.321851136865996,-3.3660714667878597,13.321851136865996,0.0012320137525445585,0.448787973448731,389.4839999999998,370.33200000000016,389.13103122800055,140,0,0.3231785909757471,-0.38303723890301333,0.38303723890301333,0.3231785909757471,1.1428571428571428,1.9285714285714286,2.7142857142857144,1.9190657026471316,1927.654620915624,35.823026265731414,32.55256455842752,14.369061139355242,21.443077113960907,16.66368799744544,8.191330196373332,5.109884884225363,5.9048315057562135,3.320687594682867,4.115634216213717,2.0995841244833513,2.8843245387526046,-3.4499999999999993,5273932199.876908,6.2833890195797935,7.282865455109386,3.5192618801778743,192.92954483526884,16.339343682303024,18.322389467592043,5.6473683133128025,0.0,0.0,6.031114512338072,0.0,14.76249422596624,0.0,11.336785877934737,18.127256122989884,54.563813540335524,30.51888978775304,16.352292663826553,31.003283839937918,44.77715635156033,0.0,9.967957041894417,0.0,13.703784234591359,16.339343682303024,65.08332006067089,0.0,11.126902983393991,16.339343682303024,21.987172511273975,0.0,11.336785877934737,15.99907155423249,0.0,13.703784234591359,31.688281325947287,53.95641707727689,5.6473683133128025,21.343523617479352,0.0,92.92999999999999,107.57430562649948,4.794537184071822,0.0,32.119415808085385,11.336785877934737,0.0,0.0,0.0,0.0,9.967957041894417,26.208746655866097,152.92040065066124,0.6283376169926334,20.74657333088906,-1.304023510355599,-5.593395334781974,-0.513956263831145,-9.62386235933435,-0.6053184257173896,-6.654755704522471,0.0,0.09523809523809523,28,4,6,0,0,0,2,2,4,5,3,7,6,0,0,0,4,5.201340000000003,115.82079999999999,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHEMBL2321965,O=C1Nc2c(Br)cccc2/C1=C1/Nc2ccc(/C=N\O)cc2/C1=N\O,6.221848749616356,13.203866305985711,-1.1003078255585466,13.203866305985711,0.13586355916702675,0.25573375146770544,399.20399999999995,388.11600000000016,398.0014523120003,124,0,0.3295879122820976,-0.4108485062964107,0.4108485062964107,0.3295879122820976,1.28,2.2,3.04,2.1688821300175194,1462.7994575657967,26.798082239349085,22.891563726400648,13.477560265515354,16.914896437720042,11.810819311834175,7.392893809463883,4.781546374373035,5.574544643930388,3.444624176502131,4.0184431149578,2.4494617894713175,2.8354960423938227,-3.13,76549581.55249287,7.403395111004342,5.74549661402618,2.2977342236027747,165.77205538884783,21.038694348664343,5.711685002770702,2.8236841566564013,0.0,5.907179729351506,2.8623993144652684,4.794537184071822,0.0,0.0,0.0,28.438681576490964,39.62065151263623,21.287008773909967,32.74349222973721,30.494998190472625,50.68733792824494,0.0,0.0,10.31142545350108,0.0,10.619626706576751,63.114625549959,0.0,0.0,10.619626706576751,11.374772549367124,0.0,15.929943897949348,28.228584592946802,4.794537184071822,0.0,26.285664368282525,56.735696528369104,5.68608347112167,5.573104530069267,0.0,106.31,82.14846229804162,4.794537184071822,0.0,15.723557282212973,10.619626706576751,0.0,0.0,0.0,0.0,36.66043699353802,15.281393364313208,87.85847622066488,3.0637203429830944,13.203866305985711,15.242795681246275,-3.551197165428764,-1.1003078255585466,-3.771886343059994,-0.8621338834993237,0.0,0.0,0.0,25,4,7,0,2,2,2,0,2,6,4,8,3,0,0,0,4,3.224400000000001,97.46040000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4855730,Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2F)cc1-c1ccc2c(c1)CCNC2=O,4.429457060118103,16.19645313088977,-5.872853085079281,16.19645313088977,0.3856089615213656,0.5494770269812375,452.51099999999985,431.34300000000025,452.1318397520006,164,0,0.2510713062049918,-0.38318509879025514,0.38318509879025514,0.2510713062049918,1.25,2.0625,2.84375,1.8553149291161524,2245.9992834510294,40.83146243416869,36.29981201686451,16.116308597792237,23.84875908670027,18.74363321463657,9.89484216143738,6.1340395698906285,7.6749947258458615,4.061949858842055,5.204914000494945,2.5547181818529334,3.286635454997681,-3.4599999999999995,74363030155.44022,7.551358814254829,7.594431999854675,3.795076998865936,214.207285383984,11.029530329014648,11.635083618880923,5.6473683133128025,10.023291153407584,5.907179729351506,0.0,9.509656797805953,17.792190552950963,0.0,0.0,12.08483741532659,60.4577712256986,47.260387867450696,21.87944439322918,46.55301298428214,27.435719935277678,0.0,10.293791874235584,0.0,24.344764373171998,16.93169627377635,65.41394998889771,0.0,22.253805966787983,15.74464994274878,15.89566410019341,0.0,0.0,31.031804588127457,16.396216054736964,5.817220841045895,51.97018542501836,48.46982616445783,5.6473683133128025,22.253805966787983,0.0,114.17999999999998,155.97003291547387,13.212334168400758,4.39041504767482,5.719716975726273,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,28.950263768206536,212.64383846440646,0.0,16.50533004143558,-4.173145339789451,-9.102200898154287,-4.827457452835163,-9.856262911693923,-11.63879173503984,-3.5117904165834206,-5.872853085079281,0.21739130434782608,32,4,7,1,1,2,2,1,3,5,3,9,6,1,0,1,5,3.326900000000001,121.08110000000002,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CHEMBL2006765,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,6.900008766455316,13.468969858863414,-5.7657180835434625,13.468969858863414,0.044344509093579676,0.49047595078085787,392.38499999999976,373.2330000000001,392.1572438880006,148,0,0.4052276437181381,-0.36044518528788905,0.4052276437181381,0.36044518528788905,1.3571428571428572,2.142857142857143,2.857142857142857,2.2785074063533264,1730.8452904228768,36.729168138596734,32.22542328249129,13.225423282491294,20.977863058797634,16.243206809745356,6.954352427745522,4.60496261657596,4.60496261657596,2.7411195437838796,2.7411195437838796,1.7063550401481722,1.7063550401481722,-3.2999999999999994,2823362211.9302816,6.642954000258559,8.154139374636939,4.901303137709833,185.24265181837148,20.906443330094376,17.961899682918702,5.6473683133128025,5.948339280986494,5.907179729351506,6.176298517443475,4.794537184071822,0.0,23.139202184918876,0.0,6.851892117295679,36.58501843964585,33.515902554702805,16.352292663826553,44.17452898296239,34.39416949808911,0.0,20.254773665412046,0.0,19.401115536068534,23.61334607520864,41.948440240828226,0.0,0.0,15.929440059865126,30.624833476529545,0.0,0.0,40.02215792755054,0.0,0.0,44.1441840369472,36.38498874913124,5.6473683133128025,11.033401435232523,0.0,94.73,119.3570713501945,17.96578232709628,0.0,10.286816623517627,0.0,0.0,0.0,0.0,0.0,9.967957041894417,26.208746655866097,188.28784940716275,0.0,20.17135360511158,-2.8408998778982113,-3.5112472354944817,-4.717559125653047,-6.543086676272968,-10.69442842781725,-12.235315002471692,0.0,0.2777777777777778,28,4,7,0,0,0,1,2,3,5,4,10,8,0,0,0,3,3.815500000000001,100.7823,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,1,0,0,0,3,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1998765,CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(-c2ccc(OCCC(N)=O)cc2)n1,5.800000874803203,14.105973358525508,-4.311000008659246,14.105973358525508,0.2475435749432413,0.2840510774057129,484.55599999999976,456.3320000000003,484.21105537600084,184,0,0.2974411989040312,-0.4930597380097995,0.4930597380097995,0.2974411989040312,1.1388888888888888,1.8888888888888888,2.638888888888889,2.1992268826551924,2575.1320744759396,49.84797029211374,45.42184754385528,17.421847543855282,28.714620043254428,23.1539022991594,9.31226151265953,6.517104755512676,6.517104755512676,4.03901097377644,4.03901097377644,2.5394305410050277,2.5394305410050277,-4.46,5724291852192.948,7.521145677255842,10.032315608253,5.434415439831621,248.12017686156324,15.766393282814699,11.567374611118932,4.235526234984602,5.907179729351506,11.690424675716445,0.0,14.383611552215466,4.681802935145185,5.098681808301038,0.0,62.8526073055301,34.94212325958277,32.099204786629485,43.5038442001608,57.62496464525566,34.18791561183257,0.0,9.780484743446223,5.719716975726273,32.3435917226132,11.868798596204664,83.76640397850502,0.0,11.436898107967467,15.766393282814699,5.817862777835028,5.749511833283905,0.0,33.93707439143046,15.004064837540422,0.0,77.2494818280892,72.50902449195954,4.235526234984602,16.459834703613154,0.0,116.30999999999999,179.32332499284922,14.383611552215466,0.0,4.681802935145185,0.0,0.0,0.0,0.0,0.0,5.098681808301038,43.24135309304016,232.95674671666,0.0,40.341715112342925,0.9580477591006384,-9.89501285962864,-9.983275619741892,-15.90984712417728,-3.967235522574213,-16.834471795314883,0.0,0.21428571428571427,36,3,8,0,0,0,3,1,4,6,2,8,8,0,0,0,4,4.398600000000003,138.47859999999994,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1995740,COc1cc(-c2ccc3c(c2)Nc2ccc([N+](=O)[O-])cc2NC3=O)ccc1O,7.700057099977233,13.386347494563584,-3.278731368713818,13.386347494563584,0.08187807067271313,0.4635239375227426,377.3559999999999,362.23600000000016,377.1011705800004,140,0,0.2932937445116866,-0.5042543397064381,0.5042543397064381,0.2932937445116866,1.1071428571428572,1.9285714285714286,2.7142857142857144,2.192024184330676,1764.3370359884286,32.61591948454486,28.382882238819192,13.38288223881919,19.793393854695648,14.602354422811512,7.299678941347733,5.1906067013232535,5.1906067013232535,3.4843632792992514,3.4843632792992514,2.236947502012359,2.236947502012359,-4.07,978057245.8091209,7.156506717469275,6.582605507343944,2.9641127585906544,180.36898680347264,20.465297851484014,0.0,14.322707823224212,0.0,13.025765661267702,0.0,14.908855452837393,0.0,0.0,0.0,12.08483741532659,41.33899652171046,12.08483741532659,51.035976497490616,38.8363062084958,28.656724828085753,1.4311996572326342,0.0,0.0,0.0,17.65757916545934,70.05953812943221,0.0,22.6259266499618,15.356489660376802,22.74954509873425,11.49902366656781,0.0,24.40845108539161,0.0,10.114318268765572,26.807091349811454,54.38176836896965,2.8236841566564013,11.126902983393991,0.0,113.73,123.18913484641449,14.908855452837393,0.0,10.619626706576751,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,25.44084944173172,126.26342095804385,0.0,23.700173390514713,15.660186674575028,-6.924569355407456,-3.602132700573149,-9.901680931772523,0.0,0.0,-3.278731368713818,0.05,28,3,8,0,1,1,3,0,3,6,3,8,5,0,0,0,4,4.285300000000003,104.42710000000001,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1983006,COc1cc(C(=O)O)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,5.0,12.723574971655326,-3.314912789207229,12.723574971655326,0.2186624464600655,0.7712464515565093,347.71799999999985,337.63800000000003,347.04213148000036,122,0,0.33684974335042117,-0.49454905112144615,0.49454905112144615,0.33684974335042117,1.5,2.3333333333333335,3.0416666666666665,2.6990796846020446,1221.3223789469062,26.118437674587504,21.24702561236447,12.002954558382925,15.654990742253378,10.524739623877863,6.100028615423311,3.7436443041276957,4.121608777136924,2.2577360004685514,2.541209355225471,1.3170786745658911,1.5309791805356687,-3.38,11343960.130026361,7.938947607199825,7.255176523841481,3.875849865411058,154.66644372667935,15.155484498195637,11.818733146076179,14.335474929339892,0.0,1.4311996572326342,12.000419800289922,5.309813353288376,19.55703141003806,5.261891554738487,0.0,11.600939890232516,12.08483741532659,0.0,45.25252385382556,31.853739562898838,35.10660874304102,6.693091211971121,9.967957041894417,0.0,0.0,17.65757916545934,40.71064063724289,0.0,11.818733146076179,15.356489660376802,16.299786236590414,5.749511833283905,11.600939890232516,34.115137492174135,0.0,11.33111286753076,25.647226563808815,24.430627836956113,7.846317470397728,1.4311996572326342,0.0,137.23000000000002,77.00377378221789,9.589074368143644,0.0,10.619626706576751,0.0,0.0,6.069221312792274,0.0,0.0,19.813628186801676,30.71302515205157,80.2808978428243,5.86784481452887,31.343961812943846,11.126634506517453,-2.630306896468581,-3.6411985822227493,-2.4769464739443707,-1.6948631238604346,0.0,-3.314912789207229,0.07142857142857142,24,3,9,0,0,0,1,1,2,7,3,10,5,0,0,0,2,2.35248,84.35170000000001,0,0,0,0,1,2,0,0,1,1,2,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL132948,Ic1nc(NCc2ccccc2)c2ncn(C3CCCC3)c2n1,4.0,8.873575425304546,-3.6572074249135547,8.873575425304546,0.030791827286469786,0.5099703335806969,419.26999999999987,401.1260000000002,419.0606935760006,118,0,0.19430662048276154,-0.3639965870002815,0.3639965870002815,0.19430662048276154,1.391304347826087,2.1739130434782608,2.9565217391304346,2.04658098613453,1547.3233848338775,31.626873843024782,29.11403245050902,13.271530741685341,18.350983966751294,15.09587060725434,7.2274061573425445,4.107885232945536,5.072747801027513,2.715049414222746,3.1974806982637336,1.7815014942997935,2.23846696543792,-1.7,289452321.1018888,4.905586573445334,6.427208901053135,3.0386168087284178,173.59128518050636,9.87691300107973,1.3707585561702202,22.224718071915547,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,42.95794334097523,18.309301294355755,46.07169122909543,17.269440163327985,24.71473753322194,39.57261134328708,0.0,19.51903521063298,0.0,38.00645175798311,5.309813353288376,45.91005202134803,0.0,0.0,5.309813353288376,5.817862777835028,0.0,22.590870627068057,19.51903521063298,6.496859684315945,3.831135277368328,60.37593902025795,36.5154652522827,1.4118420783282006,11.16387793838399,0.0,55.63,97.06710921818184,0.0,0.0,13.708048278448057,0.0,0.0,22.590870627068057,0.0,0.0,14.951935562841626,24.71473753322194,148.0194657192421,1.4706650526168024,11.635129631321458,-0.030791827286469786,-2.3793708687706783,-0.7942583144368867,-8.077468773192948,-15.66190366465591,-3.228133621504158,0.0,0.35294117647058826,23,1,5,1,0,1,1,2,3,5,1,6,4,1,0,1,4,4.158100000000003,99.31370000000004,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1999918,NC(=O)c1cc2c(-c3ccc(Br)c(F)c3F)cncc2s1,7.299988937677887,14.66347946586042,-1.5525076635592512,14.66347946586042,0.12976155045351434,0.6917721400363961,369.18999999999994,362.13400000000007,367.9430523840002,106,0,0.25831099001500263,-0.364899742252146,0.364899742252146,0.25831099001500263,1.3333333333333333,2.142857142857143,2.9047619047619047,2.527273117202101,1142.018024560848,21.074467600217485,16.844817190955325,12.247310310997754,12.983846122941339,8.744566729459489,6.959634388944651,3.8428198336271207,5.656438829344131,2.591259731984671,4.117963480768734,1.6776718948544225,2.7418224972451313,-1.86,1309749.1565319079,7.953683637857015,5.159019543077133,2.319109388229285,140.04605319725243,5.719716975726273,0.0,14.458125838748192,0.0,5.907179729351506,0.0,9.77851570501903,8.78083009534964,0.0,11.336785877934737,6.042418707663295,28.01478131327594,28.85891761948831,20.903579406853915,23.25284421692896,43.26005363616949,0.0,4.9839785209472085,5.719716975726273,0.0,0.0,51.4573549362449,0.0,11.126902983393991,5.719716975726273,8.78083009534964,0.0,27.266729775884087,10.891158250298714,0.0,11.63444168209179,16.52547715862422,34.94576606045182,2.8236841566564013,21.213047114327885,0.0,55.980000000000004,68.4914376489904,13.575367279421462,0.0,15.805861106660169,11.336785877934737,0.0,0.0,0.0,0.0,20.913922418896558,9.677476937507501,82.031036627614,3.2212726616383716,15.135698195862112,-0.31136810279667393,-1.5962837485519659,-4.22114811665407,-2.0817584850298143,-1.2607823654153014,0.0,0.0,0.0,21,2,3,0,0,0,1,2,3,3,1,7,2,0,0,0,3,4.102900000000001,81.1899,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
