compound_id,base_rdkit_smiles,avg_pIC50,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL4649721,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@H](CO)CCCCCCc3cncnc3)nc12,7.698970004336019,9.262112590183252,-5.215998984083907,9.262112590183252,0.13511330560951285,0.20966439586859714,487.6519999999996,450.3560000000003,487.3059588040011,190,0,0.2101438511758714,-0.39424379325570286,0.39424379325570286,0.2101438511758714,1.1388888888888888,1.9722222222222223,2.7777777777777777,2.24016560456101,2754.397520397055,57.505189020535624,54.538743458963566,17.538743458963566,32.28155873207364,27.613687997445435,9.311012515981657,5.939523252365776,5.939523252365776,3.651364886116589,3.651364886116589,2.2427277113145285,2.2427277113145285,-3.5199999999999996,180362597459056.06,6.1270171873553325,12.97308395003723,7.008130872018725,264.9707529400126,15.728434897683965,19.309855825806505,8.470861377424129,1.4311996572326342,0.0,0.0,0.0,14.951935562841626,9.61407970191666,0.0,63.034652476895964,36.13963537274521,56.492932872539996,37.94039270846378,54.538283257551136,17.282902776437783,1.4311996572326342,24.566015264758285,0.0,70.35004348059628,17.17861194949304,77.76692406748127,0.0,0.0,10.619626706576751,11.635725555670057,0.0,0.0,43.68290082436407,12.869784585645323,0.0,114.75851181147965,61.07656959239028,2.8236841566564013,5.647177220767728,0.0,100.26,182.57848227400848,1.3707585561702202,0.0,4.5153978936156225,0.0,0.0,0.0,0.0,0.0,25.159425562249872,49.48991616750633,312.3046230287603,0.0,9.879418836732833,5.585522082521843,-6.362211272035903,-7.995882922570521,-13.358442768818364,-34.921396079115766,-16.96496423880786,0.0,0.42857142857142855,36,3,8,0,0,0,1,3,4,8,3,8,17,0,0,0,4,5.220800000000005,144.16219999999984,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1993661,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl,7.50003813440381,13.323728079514897,-5.7702727216649885,13.323728079514897,0.1880849581631967,0.4222192846746287,479.9459999999998,457.7700000000002,479.10301748400053,170,0,0.24187691330483005,-0.4926335364441247,0.4926335364441247,0.24187691330483005,1.09375,1.8125,2.5,2.4618674560527922,2033.5464754026802,42.00518902053563,37.0635221932922,16.635947720238377,24.13527656989719,18.48786073854621,9.464247753856204,5.132855855650808,7.0517754846152645,3.2809412237310127,4.586164548884923,2.008618855908092,2.7476988939901976,-3.2800000000000002,43743855739.926476,7.93999235518017,9.896065104758367,4.956085433743269,221.5824412101528,24.8302155679769,11.329958867587303,20.140570601059235,21.721142267677983,0.0,0.0,0.0,18.116895119010277,4.9839785209472085,0.0,23.685777305559107,19.060664315608836,21.88449935852081,54.90627576086966,52.9083246479479,44.76520565182875,0.0,14.683076655628547,0.0,4.895483475517775,38.70931098350676,47.45004077053585,0.0,17.248535499851716,29.54533518171103,23.140974608188646,17.248535499851716,11.600939890232516,46.47543830315337,10.023291153407584,0.0,26.044412567234176,47.3228909323123,9.258159548725928,0.0,0.0,123.70000000000002,135.5631293981657,8.417796984328938,0.0,10.619626706576751,0.0,0.0,0.0,0.0,0.0,14.704819995694464,51.35460460005143,211.61837290822282,6.124417198411629,5.5787778375288415,-1.444328553391055,-2.6775452707173075,-6.6753563416168475,-8.046325884398888,-1.1533645827477,-3.7544947172333325,-16.375708149613704,0.2,32,3,10,0,0,0,2,1,3,9,3,12,13,0,0,0,3,3.5511000000000017,122.39290000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL1980246,NCc1cc(Nc2ncnc(-c3ccccc3)n2)ccc1O,5.40000018605658,8.408858234651886,-3.148114729965206,8.408858234651886,0.1456079931972789,0.6392460913333778,293.3299999999997,278.21,293.12766010000036,110,0,0.2931090267795005,-0.5076214249655926,0.5076214249655926,0.2931090267795005,1.3181818181818181,2.227272727272727,3.0454545454545454,2.321896325748483,1373.2038902044494,28.143381700969833,25.644316267963653,10.644316267963653,17.070398313898725,12.966474401945481,5.716585324981742,3.7103547351068378,3.7103547351068378,2.323913502173886,2.323913502173886,1.404918954193565,1.404918954193565,-2.9899999999999998,59780408.741431266,4.755139911072561,6.191942039741672,3.0178054481155745,148.58886187903735,16.13833852012186,16.247326260076754,7.236246576328128,5.948339280986494,1.4311996572326342,0.0,0.0,9.967957041894417,4.9839785209472085,0.0,30.212093538316473,18.127256122989884,26.052666054733937,10.96606844936176,24.42267854396423,11.635725555670057,1.4311996572326342,14.951935562841626,5.719716975726273,6.496859684315945,5.309813353288376,60.20617286696958,0.0,17.137367822980828,11.029530329014648,11.635725555670057,5.749511833283905,0.0,21.491943411181474,6.496859684315945,0.0,20.641795609569414,54.642721375272586,4.235526234984602,11.387855989696924,0.0,96.95,101.1958429056627,0.0,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,20.060743753948838,20.745070010089655,117.9785179455267,0.0,11.101276528339117,4.360461857056027,-2.842051292059547,-2.3613625890322627,-6.503890609866508,-0.8348371099983207,-3.148114729965206,0.0,0.0625,22,4,6,0,0,0,2,1,3,6,3,6,6,0,0,0,3,2.446500000000001,84.54390000000002,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4776271,C=CC(=O)NC1CCN(C(=O)N2CCCC(Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)CC1,5.209714835966758,14.67196447884065,-4.803466247240149,14.67196447884065,0.179663661607518,0.40014791290289314,532.7360000000008,496.4480000000003,532.2290310120011,196,0,0.3195725637128289,-0.4442624585278748,0.4442624585278748,0.3195725637128289,1.4166666666666667,2.25,3.0277777777777777,1.929715083890813,2459.2610522657496,57.1184376745875,53.224523025319066,18.857516187174514,31.450008170899846,26.907915521355076,10.64648149221061,6.061351392247926,8.113787156744362,3.505006045898653,5.200201914169244,2.058460665304256,3.4176668692428094,-2.53,74135431666440.95,6.718986476496539,11.680290549104102,7.029530359693452,271.35571785982887,24.836597105331055,5.760247418874442,7.9552426364957345,11.797903651377414,0.0,6.031114512338072,4.794537184071822,14.76249422596624,0.0,11.761884949391115,38.42350119182365,31.543771351353087,77.70717804761536,34.596753489833745,63.435700371640934,40.168523548854765,0.0,25.077589856883748,0.0,73.41228742597286,31.297252090552156,36.57987247056731,0.0,0.0,10.619626706576751,9.926095663911155,0.0,23.098670827325854,69.72929441924802,15.914484538618762,0.0,104.30413820789228,33.555231244242385,2.8236841566564013,0.0,0.0,103.60000000000001,173.46889752361054,10.959832924313863,0.0,23.098670827325854,0.0,0.0,0.0,0.0,0.0,9.967957041894417,52.47586744732705,303.60703710312265,-0.4487839310622146,31.873185216039392,-3.2523105971206876,-7.367733953954837,-5.449894574666677,-14.14703751686924,-21.339951250254344,-32.89117716190072,0.0,0.6,36,2,9,0,2,2,0,2,2,8,2,11,7,0,2,2,4,4.483800000000004,143.42639999999986,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
CHEMBL1977134,Nc1c(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)cnc2c(-c3ccc4c(c3)OCO4)cnn12,5.40000018605658,13.677392511890769,-5.4699423822636595,13.677392511890769,0.2374209531213647,0.2600924787079523,532.482000000001,513.3300000000003,532.1470731280006,196,0,0.4159855244059726,-0.45359507124160203,0.45359507124160203,0.4159855244059726,1.0,1.7692307692307692,2.5641025641025643,1.5266874644790318,2615.6050217198895,43.57158493124534,37.54191986341901,18.541919863419015,26.670909837311147,19.562489795173118,10.273635413173285,7.2912866081566685,7.2912866081566685,4.8390922437381745,4.8390922437381745,3.1394158273964026,3.1394158273964026,-5.259999999999999,1465629279042.3196,10.847979837233643,9.241917414924558,4.6303853421984265,245.46909071706662,25.813069589903122,8.55937989017547,22.793569200648335,6.745045584503197,0.0,12.207413029781547,0.0,9.77851570501903,22.785324844941115,0.0,24.16967483065318,53.42383393703705,28.674570743575877,29.55620793272461,53.64825489056252,28.87092706030795,0.0,14.598058222863868,0.0,6.176298517443475,23.08438926680622,84.37584769762277,0.0,33.752829633355795,25.813069589903122,35.15841765429843,11.49902366656781,0.0,27.374218319705136,6.176298517443475,0.0,26.124829834250292,78.81239620592577,5.6473683133128025,27.90098318755571,0.0,115.8,170.54057519981,17.96578232709628,0.0,5.719716975726273,4.5153978936156225,0.0,0.0,0.0,0.0,10.082660329248245,35.6824725634662,207.83690341941238,0.0,17.257810614427395,2.765724489351608,-8.682342872307807,-2.149019861065244,-15.65299905549829,-7.366146133685222,-2.8432639339681405,0.0,0.07407407407407407,39,4,9,0,1,1,3,2,5,7,3,12,5,0,0,0,6,6.037000000000004,138.47979999999984,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,3,2,1,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,3,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL281948,COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,4.522878745280337,14.369021937491452,-4.377185689090451,14.369021937491452,0.19710741578413815,0.3671668610956925,467.4809999999999,446.3130000000003,467.1481207720006,174,0,0.34268896400045673,-0.4667397058843694,0.4667397058843694,0.34268896400045673,1.2857142857142858,2.057142857142857,2.8285714285714287,1.8918053973050541,2754.6870092961126,41.900376534921044,37.88288223881919,16.88288223881919,25.490463934750128,20.323185284587172,9.967723398623352,8.090945388361328,8.090945388361328,6.563553658768796,6.563553658768796,5.223138721591003,5.223138721591003,-3.879999999999999,698485144069.4698,8.077568927032654,5.842140792245964,1.89460824108108,227.80664861943376,29.026546747578397,6.203952809936554,7.1368276722984545,7.032250468216322,5.907179729351506,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,36.25451224597977,24.500181024319264,41.26847422435562,53.85882660742775,51.62786311241337,55.48818474562758,1.4311996572326342,14.444012648871084,0.0,37.2516659178315,7.037952458882589,59.46625264470035,0.0,0.0,5.309813353288376,0.0,0.0,0.0,40.18969543109218,26.490108369958115,0.0,61.39462256326166,48.33934966130636,1.4118420783282006,43.611699728324226,0.0,94.72,159.24405576704203,13.701350036654302,0.0,9.87691300107973,4.567099647791355,0.0,0.0,0.0,0.0,4.736862953800049,34.620849779191616,194.05725454857182,0.0,28.45847691150152,1.3920959283621623,-14.11186308940345,-4.005799894191172,-8.566907873571834,-8.243981953892677,-7.542064030412696,-3.853877213630329,0.25925925925925924,35,2,8,0,3,3,3,2,5,7,2,8,4,0,1,1,8,3.655100000000002,128.96900000000005,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,13,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1091644,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,4.522878745280337,9.208475923814822,-3.7560302809330066,9.208475923814822,0.23510387248744413,0.435837306206756,421.50399999999973,398.32000000000016,421.19026035600075,158,0,0.21084151506266469,-0.3901329579529353,0.3901329579529353,0.21084151506266469,1.21875,2.09375,2.90625,1.8080943940669347,2468.5123335252224,41.60748331610759,38.64431626796365,15.644316267963655,25.131728817812583,20.242867604195496,8.940192122731721,6.617254195347684,6.617254195347684,4.534318154053292,4.534318154053292,3.1595020093970927,3.1595020093970927,-3.769999999999999,313675277975.0329,6.62018298647589,6.867587015618814,3.030217978176012,217.4744692955382,10.828525166833487,22.852895988299675,2.8236841566564013,1.4311996572326342,0.0,0.0,4.400694606261793,14.951935562841626,0.0,0.0,48.33934966130636,31.68257933528103,45.71894375421317,33.26078219749105,35.34766347116801,22.237488427532345,1.4311996572326342,19.35263016910342,0.0,31.092750416301204,5.719716975726273,78.5943819962624,0.0,22.514758973090913,5.719716975726273,5.817862777835028,0.0,0.0,31.493688828426954,0.0,0.0,58.731275226721905,72.76997749826246,2.8236841566564013,38.93438462278823,0.0,89.33,154.43937981318692,2.7415171123404405,0.0,5.719716975726273,4.400694606261793,0.0,0.0,0.0,0.0,20.060743753948838,28.92853782495299,193.47678134464905,0.0,11.965997674618878,3.6299679411190544,-8.485388808142186,-5.74445964799077,-8.714255910589017,-9.622612312732002,-3.7560302809330066,0.0,0.19230769230769232,32,3,6,1,0,1,2,3,5,6,2,6,6,1,0,1,6,4.822100000000004,126.17120000000003,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1987948,CS(=O)(=O)NC1CCCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)C1,7.100015437450609,12.793632751585527,-6.28373271670193,12.793632751585527,0.2613372176129731,0.546776047856813,420.9259999999998,399.7580000000002,420.11352259200066,148,0,0.22438864559273158,-0.3513730744049125,0.3513730744049125,0.22438864559273158,1.5,2.357142857142857,3.2142857142857144,2.11061891437664,2005.9635688321769,38.204224112214405,34.28599091740057,14.858416444346746,21.761667569274252,17.460329462654578,8.936716477964572,4.934214358470674,6.42493431141236,3.042610296988736,3.644549317966463,2.0552979663996473,2.5520395171991144,-2.23,7605865142.289724,6.383092679611323,7.650782741601866,4.425690655803773,197.42934675514886,10.286816623517627,12.212129115988722,2.8236841566564013,15.97163043439408,0.0,0.0,0.0,28.084852160904692,0.0,0.0,11.600939890232516,37.5765370206441,57.82277244619657,20.102403432986236,37.3269772303775,38.60597175985912,0.0,24.64405844680501,0.0,37.52748454201681,11.493737454404833,35.6261563615122,0.0,11.257379486545457,10.024932967022508,5.948339280986494,0.0,11.600939890232516,46.566444855215565,10.023291153407584,0.0,50.165353616381516,30.473046544619407,9.388636051877395,22.29078092177798,0.0,112.66,127.62490932784004,8.417796984328938,0.0,4.977003270229252,0.0,0.0,0.0,0.0,0.0,14.951935562841626,40.51012013628109,196.6495039632804,6.070958716135332,11.189926120360806,-2.2423765389109938,-2.1511286705400225,-1.4559727864911396,-11.730203647657932,-23.935863328363382,0.0,-6.28373271670193,0.3888888888888889,28,3,8,1,0,1,0,3,3,6,3,10,6,1,0,1,4,2.9456000000000007,109.77590000000001,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CHEMBL4743840,C=CC(=O)Nc1cccc(C(=O)Nc2ncc(N3CCC(N(C)C)CC3)s2)c1,5.0,13.512551858475268,-4.426186443827292,13.512551858475268,0.18157101923516206,0.7303055078942867,399.5199999999997,374.32000000000016,399.17289604000075,148,0,0.2570194563529196,-0.3619663264837599,0.3619663264837599,0.2570194563529196,1.5714285714285714,2.392857142857143,3.142857142857143,2.2640871133803993,1824.0838283628912,41.729168138596734,38.46081284889138,14.277309429819107,23.504572065105034,19.394205344927393,7.8162747348552015,4.588948333676302,5.544919181645328,2.7772003963194423,3.609559212275628,1.6304282478700904,2.2970682630930264,-2.7099999999999995,29093390309.155373,5.457158594216222,8.986607197167004,4.9622108579777535,203.85024932595047,15.109632814989332,5.001081976687867,7.9552426364957345,5.907179729351506,5.907179729351506,0.0,14.898887721432018,4.9839785209472085,0.0,0.0,23.910243547599897,50.876831472248696,50.82382794591543,17.13896366017652,43.94020531671512,38.971172067848514,0.0,9.883888251797686,0.0,18.763742271008404,42.46490960662361,48.48913224120237,0.0,0.0,15.519536437427229,15.820026731210763,0.0,11.336785877934737,54.66151334804672,4.794537184071822,0.0,54.63128527034269,42.925680749505375,2.8236841566564013,0.0,0.0,77.57,131.6324533330219,9.589074368143644,0.0,21.95641258451149,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,34.35113094857146,201.96501013119183,-0.18157101923516206,28.0632109612535,-2.969886131915751,-2.4838085942665047,-3.581730438277016,-10.781756251220306,-9.965723243801888,-17.81374541372872,0.0,0.35,28,2,7,0,1,1,1,1,2,6,2,8,8,0,1,1,3,3.050300000000002,114.25790000000005,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHEMBL483158,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,4.522878745280337,16.195917884574154,-3.4832549125266556,16.195917884574154,0.05404495998140746,0.3347159311313273,518.9320000000004,498.7720000000004,518.1157110200005,186,0,0.33898003759253575,-0.49594129485140137,0.49594129485140137,0.33898003759253575,1.2162162162162162,2.081081081081081,2.918918918918919,1.929976558328886,2445.743752396938,43.17639741685993,37.677776489873736,18.433705435892193,26.07199884659352,19.49702561236447,10.019528199409875,6.794435173770162,7.172399646779389,4.66799969156741,4.856981928072024,3.1473202300521614,3.2890569074306217,-4.499999999999999,517155542538.8338,10.102004855509437,9.86545745307634,4.564058272632674,244.20183062228728,19.892347451995686,22.879695999310698,1.4118420783282006,5.948339280986494,1.4311996572326342,5.969305287951849,4.992404732635669,19.152909273641058,0.0,0.0,23.685777305559107,36.25451224597977,39.61568798199393,62.2154831024613,49.85298241984615,34.91765573662512,1.4311996572326342,9.967957041894417,4.992404732635669,6.496859684315945,19.385718271053552,93.64832370135964,0.0,22.756403153113265,14.783539260888475,16.026140603344878,11.49902366656781,11.600939890232516,40.833660441489364,6.496859684315945,5.817220841045895,51.72199716192381,65.5470683124201,6.434475392069527,12.68857914377809,0.0,105.92999999999999,160.29420730294666,4.794537184071822,4.39041504767482,5.309813353288376,0.0,0.0,0.0,0.0,0.0,20.069169965637297,48.59136154445744,188.97101768049384,6.219864073744694,23.93951881000397,2.90236289677922,-8.489971031456284,-7.22989691851632,-10.42903856705109,-1.2069975878832302,-3.4008777155032632,-6.914870529500414,0.1111111111111111,37,2,8,0,1,1,3,1,4,8,2,10,8,0,0,0,5,5.746100000000004,138.00899999999993,0,0,0,0,1,2,0,0,1,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
